WeeksToGoal,WeeklyTotal,Type,Event
9,50-60 miles,Easy,25 minutes
9,50-60 miles,Intervals, Warm-up + 5x(0.25mi at race pace + rest 2 mins)
9,50-60 miles,Easy,25 minutes
9,50-60 miles,Intervals, Warm-up + 3x(1.0mi at race pace + rest 4 mins)
9,50-60 miles,Easy,30 minutes
9,50-60 miles,Progression,60 minutes
9,50-60 miles,Rest,0 mins
8,50-60 miles,Easy,35 minutes
8,50-60 miles,Intervals,Warm-up + run 90 sec + rest 1 min + 3x(3 at race pace + rest 4 mins)
8,50-60 miles,Easy,35 minutes
8,50-60 miles,Pace run,Warm-up + run 15 mins at 10k pace + cool-down
8,50-60 miles,Easy,40 minutes
8,50-60 miles,Progression,70 minutes
8,50-60 miles,Rest,0 mins
7,50-60 miles,Easy,45 minutes
7,50-60 miles,Intervals,Warm-up + 10x(run 30 sec + jog 1 min)
7,50-60 miles,Easy,45 minutes
7,50-60 miles,Intervals,Warm-up + 6x(0.5mi increase speed each time + rest 2 mins)
7,50-60 miles,Easy,45 minutes
7,50-60 miles,Progression,80 minutes
7,50-60 miles,Rest,0 mins
6,50-60 miles,Easy,25 minutes
6,50-60 miles,Intervals,Warm-up + run 90 sec + rest 1 min + 4x(3 min at race pace + rest 4 mins)
6,50-60 miles,Easy,25 minutes
6,50-60 miles,Pace run,Warm-up + run 20 mins(MP --> 1/2 MP)
6,50-60 miles,Easy,30 minutes
6,50-60 miles,Progression,90 minutes
6,50-60 miles,Rest,0 mins
5,50-60 miles,Easy,35 minutes
5,50-60 miles,Intervals,Warm-up + 12x(run 30 sec + jog 1 min)
5,50-60 miles,Easy,35 minutes
5,50-60 miles,Intervals,Warm-up + 3x(1 mile + 2 min rest + 0.5 mile + 4 min rest)
5,50-60 miles,Easy,40 minutes
5,50-60 miles,Progression,70 minutes
5,50-60 miles,Rest,0 mins
4,50-60 miles,Easy,45 minutes
4,50-60 miles,Intervals,Warm-up + run 90 sec + rest 1 min + 4x(3 min at race pace + rest 4 mins)
4,50-60 miles,Easy,45 minutes
4,50-60 miles,Pace run,Warm-up + run 20 mins(MP --> 1/2 MP)
4,50-60 miles,Easy,45 minutes
4,50-60 miles,Progression,80 minutes
4,50-60 miles,Rest,0 mins
3,50-60 miles,Easy,25 minutes
3,50-60 miles,Intervals,Warm-up + 12x(run 30 sec + jog 1 min)
3,50-60 miles,Easy,25 minutes
3,50-60 miles,Intervals,Warm-up + 8x(0.5 mi + 2 min rest)
3,50-60 miles,Easy,30 minutes
3,50-60 miles,Progression,90 minutes
3,50-60 miles,Rest,0 mins
2,50-60 miles,Easy,45 minutes
2,50-60 miles,Intervals,Warm-up + 9x(90 sec + 2 min rest)
2,50-60 miles,Easy,35 minutes
2,50-60 miles,Pace run,Warm-up + run 25 mins(MP --> 1/2 MP)
2,50-60 miles,Easy,40 minutes
2,50-60 miles,Progression,80 minutes
2,50-60 miles,Rest,0 mins
1,50-60 miles,Easy,35 minutes
1,50-60 miles,Intervals,Warm-up + 12x(run 30 sec + jog 30 sec)
1,50-60 miles,Easy,45 minutes
1,50-60 miles,Intervals,Warm-up + 3x(1.0 mi + 2 min rest)
1,50-60 miles,Easy,45 minutes
1,50-60 miles,Easy,60 minutes
1,50-60 miles,Rest,0 mins
0,50-60 miles,Easy,20 minutes
0,50-60 miles,Intervals,Warm-up + 5x(Run 3 min + rest minutes)
0,50-60 miles,Easy,20 minutes
0,50-60 miles,Pre-race workout,15 min warm-up + run 10 min MP + recovery fully + 3x(run 1 min + rest 2 min)
0,50-60 miles,Easy,20 minutes
0,50-60 miles,Easy,20 minutes
0,50-60 miles,Race,17+ mins

