WeeksToGoal,WeeklyTotal,Mesocycle,Event
17,65 miles,Endurance,Recovery 5 mi
17,65 miles,Endurance,Lactate threshold 9 mi w/ 4 mi @ 15K to half marathon race pace
17,65 miles,Endurance,Medium-long run 12 mi
17,65 miles,Endurance,Recovery 6 mi
17,65 miles,Endurance,General aerobic 10 mi
17,65 miles,Endurance,Recovery 6 mi
17,65 miles,Endurance,Long run 17 mi
16,67 miles,Endurance,Recovery 6 mi
16,67 miles,Endurance,General aerobic + speed 8 mi w/ 10x100 m strides
16,67 miles,Endurance,Medium-long run 13 mi
16,67 miles,Endurance,Recovery 6 mi
16,67 miles,Endurance,Medium-long run 11 mi
16,67 miles,Endurance,Recovery 6 mi
16,67 miles,Endurance,Marathon-pace run 17 mi w/ 8 mi @ marathon pace
15,70 miles,Endurance,Recovery 6 mi
15,70 miles,Endurance,Lactate threshold 10 mi w/ 5 mi @ 15K to half marathon race pace
15,70 miles,Endurance,Medium-long run 14 mi
15,70 miles,Endurance,Recovery 6 mi
15,70 miles,Endurance,Medium-long run 12 mi
15,70 miles,Endurance,Recovery 6 mi
15,70 miles,Endurance,Medium-long run 16 mi
14,74 miles,Endurance,Recovery 6 mi
14,74 miles,Endurance,General aerobic + speed 10 mi w/ 10x100 m strides
14,74 miles,Endurance,Medium-long run 14 mi
14,74 miles,Endurance,Recovery 6 mi
14,74 miles,Endurance,Medium-long run 12 mi
14,74 miles,Endurance,Recovery 6 mi
14,74 miles,Endurance,Long run 20 mi
13,78 miles,Endurance,Recovery 6 mi a.m. 4 mi p.m.
13,78 miles,Endurance,Lactate threshold 10 mi w/ 4 mi @ 15K to half marathon race pace
13,78 miles,Endurance,Medium-long run 15 mi
13,78 miles,Endurance,Recovery 6 mi
13,78 miles,Endurance,Medium-long run 13 mi
13,78 miles,Endurance,Recovery 6 mi
13,78 miles,Endurance,Marathon-pace run 18 mi w/ 10 mi @ marathon pace
12,68 miles,Endurance,Recovery 7 mi
12,68 miles,Endurance,General aerobic + speed 10 mi w/ 10x100 m strides
12,68 miles,Endurance,Medium-long run 13 mi
12,68 miles,Endurance,Recovery 6 mi
12,68 miles,Endurance,General aerobic 10 mi
12,68 miles,Endurance,Recovery 6 mi
12,68 miles,Endurance,Long run 16 mi
11,84 miles,Lactate Threshold + Endurance,Recovery 6 mi a.m. 4 mi p.m.
11,84 miles,Lactate Threshold + Endurance,Lactate threshold 11 mi w/ 5 mi @ 15K to half marathon race pace
11,84 miles,Lactate Threshold + Endurance,Medium-long run 15 mi
11,84 miles,Lactate Threshold + Endurance,Recovery 7 mi
11,84 miles,Lactate Threshold + Endurance,Medium-long run 13 mi
11,84 miles,Lactate Threshold + Endurance,General aerobic + speed 8 mi w/ 10x100 m strides
11,84 miles,Lactate Threshold + Endurance,Long run 20 mi
10,82 miles,Lactate Threshold + Endurance,Recovery 6 mi a.m. 4 mi p.m.
10,82 miles,Lactate Threshold + Endurance,General aerobic 9 mi
10,82 miles,Lactate Threshold + Endurance,Medium-long run 13 mi
10,82 miles,Lactate Threshold + Endurance,Recovery 7 mi
10,82 miles,Lactate Threshold + Endurance,Lactate threshold 12 mi w/ 6 mi @ 15K to half marathon race pace
10,82 miles,Lactate Threshold + Endurance,Recovery 7 mi
10,82 miles,Lactate Threshold + Endurance,Long run 20 mi
9,80 miles,Lactate Threshold + Endurance,Recovery 6 mi a.m. 4 mi p.m.
9,80 miles,Lactate Threshold + Endurance,General aerobic 9 mi
9,80 miles,Lactate Threshold + Endurance,Medium-long run 15 mi
9,80 miles,Lactate Threshold + Endurance,Recovery 8 mi
9,80 miles,Lactate Threshold + Endurance,Medium-long run 13 mi
9,80 miles,Lactate Threshold + Endurance,Recovery + speed 7 mi w/ 6x100 m strides
9,80 miles,Lactate Threshold + Endurance,Marathon-pace run 18 mi w/ 12 mi @ marathon pace
8,74 miles,Endurance,Recovery 6 mi a.m. 4 mi p.m.
8,74 miles,Endurance,General aerobic 9 mi
8,74 miles,Endurance,VO2max 9 mi w/ 6x800 m @ 5k race pace
8,74 miles,Endurance,Recovery 7 mi
8,74 miles,Endurance,Medium-long run 11 mi a.m. 4 mi p.m.
8,74 miles,Endurance,General aerobic + speed 8 mi w/ 10x100 m strides
8,74 miles,Endurance,Long run 16 mi
7,87 miles,Lactate Threshold + Endurance,Recovery 6 mi a.m. 4 mi p.m.
7,87 miles,Lactate Threshold + Endurance,General aerobic 8 mi
7,87 miles,Lactate Threshold + Endurance,Medium-long run 15 mi
7,87 miles,Lactate Threshold + Endurance,Recovery 6 mi a.m. 4 mi p.m.
7,87 miles,Lactate Threshold + Endurance,Lactate threshold 12 mi w/ 7 mi @ 15K to half marathon race pace
7,87 miles,Lactate Threshold + Endurance,General aerobic 8 mi
7,87 miles,Lactate Threshold + Endurance,Long run 24 mi
6,74-78 miles,Race Preparation,Recovery 6 mi a.m. 4 mi p.m.
6,74-78 miles,Race Preparation,VO2max 9 mi w/ 5x600 m @ 5k race pace
6,74-78 miles,Race Preparation,Medium-long run 15 mi
6,74-78 miles,Race Preparation,Recovery + speed 7 mi w/ 6x100 m strides
6,74-78 miles,Race Preparation,Recovery 6 mi
6,74-78 miles,Race Preparation,8K-15K tune-up race
6,74-78 miles,Race Preparation,Long run 18 mi
5,86 miles,Race Preparation,Recovery 6 mi a.m. 4 mi p.m.
5,86 miles,Race Preparation,VO2max 12 mi w/ 6x1000 m @ 5k race pace
5,86 miles,Race Preparation,Medium-long run 15 mi
5,86 miles,Race Preparation,Recovery 6 mi a.m. 4 mi p.m.
5,86 miles,Race Preparation,Medium-long run 12 mi
5,86 miles,Race Preparation,Recovery 7 mi
5,86 miles,Race Preparation,Marathon-pace run 20 mi w/ 14 mi @ marathon pace
4,73-77 miles,Race Preparation,Recovery 6 mi a.m. 4 mi p.m.
4,73-77 miles,Race Preparation,VO2max 9 mi w/ 5x600 m @ 5k race pace
4,73-77 miles,Race Preparation,Medium-long run 14 mi
4,73-77 miles,Race Preparation,Recovery + speed 7 mi w/ 6x100 m strides
4,73-77 miles,Race Preparation,Recovery 6 mi
4,73-77 miles,Race Preparation,8K-15K tune-up race
4,73-77 miles,Race Preparation,Long run 18 mi
3,85 miles,Race Preparation,Recovery 6 mi a.m. 4 mi p.m.
3,85 miles,Race Preparation,General aerobic 8 mi
3,85 miles,Race Preparation,VO2max 12 mi w/ 6x1000 m @ 5k race pace
3,85 miles,Race Preparation,Medium-long run 15 mi Recovery 4 mi p.m.
3,85 miles,Race Preparation,General aerobic + speed 8 mi w/ 10x100 m strides
3,85 miles,Race Preparation,Recovery 6 mi
3,85 miles,Race Preparation,Long run 22 mi
2,68-70 miles,Race Preparation,Recovery 6 mi a.m.
2,68-70 miles,Race Preparation,VO2max 9 mi w/ 5x600 m @ 5k race pace
2,68-70 miles,Race Preparation,Medium-long run 14 mi
2,68-70 miles,Race Preparation,Recovery + speed 7 mi w/ 6x100 m strides
2,68-70 miles,Race Preparation,Recovery 6 mi
2,68-70 miles,Race Preparation,8K-10K tune-up race
2,68-70 miles,Race Preparation,Long run 17 mi
1,54 miles,Taper and Race,Recovery 6 mi
1,54 miles,Taper and Race,General aerobic + speed 8 mi w/ 8x100 m strides
1,54 miles,Taper and Race,Recovery 6 mi
