WeeksToGoal,WeeklyTotal,Mesocycle,Event
17,80 miles,Endurance,Recovery 6 mi am Recovery 5 mi pm
17,80 miles,Endurance,Recovery 4 mi am Lactate threshold 10 mi w/ 4 mi @ 15K to half marathon race pace
17,80 miles,Endurance,Medium-long run 12 mi
17,80 miles,Endurance,Recovery 6 mi
17,80 miles,Endurance,General aerobic + speed 10 mi w/ 10x100 m strides
17,80 miles,Endurance,Recovery 6 mi
17,80 miles,Endurance,Long run 16 mi
16,84 miles,Endurance,Recovery 6 mi am Recovery 5 mi pm
16,84 miles,Endurance,General aerobic + speed 10 mi w/ 10x100 m strides
16,84 miles,Endurance,Medium-long run 13 mi
16,84 miles,Endurance,Recovery 6 mi am Recovery 5 mi pm
16,84 miles,Endurance,Medium-long run 12 mi
16,84 miles,Endurance,Recovery 6 mi
16,84 miles,Endurance,Marathon-pace run 17 mi w/ 8 mi @ marathon pace
15,88 miles,Endurance,Recovery 6 mi am Recovery 5 mi pm
15,88 miles,Endurance,Recovery 4 mi am Lactate threshold 10 mi w/ 5 mi @ 15K to half marathon race pace
15,88 miles,Endurance,Medium-long run 14 mi
15,88 miles,Endurance,Recovery 6 mi am Recovery 5 mi pm
15,88 miles,Endurance,Medium-long run 12 mi
15,88 miles,Endurance,Recovery 6 mi
15,88 miles,Endurance,Long run 18 mi
14,92 miles,Endurance,Recovery 6 mi am Recovery 6 mi pm
14,92 miles,Endurance,Recovery 4 mi am General aerobic + speed 10 mi w/ 10x100 m strides
14,92 miles,Endurance,Medium-long run 15 mi
14,92 miles,Endurance,Recovery 6 mi am Recovery 5 mi am
14,92 miles,Endurance,Medium-long run 13 mi
14,92 miles,Endurance,Recovery 7 mi
14,92 miles,Endurance,Long run 20 mi
13,95 miles,Endurance,Recovery 6 mi am Recovery 6 mi pm
13,95 miles,Endurance,Recovery 5 mi am Lactate threshold 10 mi w/ 5 mi @ 15K to half marathon race pace
13,95 miles,Endurance,Medium-long run 15 mi
13,95 miles,Endurance,Recovery 6 mi am Recovery 5 mi pm
13,95 miles,Endurance,Medium-long run 14 mi
13,95 miles,Endurance,General aerobic 8 mi
13,95 miles,Endurance,Marathon-pace run 20 mi w/ 10 mi @ marathon pace
12,82 miles,Endurance,Recovery 6 mi am Recovery 6 mi pm
12,82 miles,Endurance,General aerobic + speed 10 mi w/ 10x100 m strides
12,82 miles,Endurance,Medium-long run 13 mi
12,82 miles,Endurance,Recovery 6 mi am Recovery 5 mi pm
12,82 miles,Endurance,Medium-long run 12 mi
12,82 miles,Endurance,General aerobic 8 mi
12,82 miles,Endurance,Long run 16 mi
11,100 miles,Lactate Threshold + Endurance,Recovery 6 mi am Recovery 5 mi pm
11,100 miles,Lactate Threshold + Endurance,Lactate threshold 10 mi w/ 5 mi @ 15K to half marathon race pace
11,100 miles,Lactate Threshold + Endurance,Recovery 5 mi am Medium-long run 15 mi
11,100 miles,Lactate Threshold + Endurance,Recovery 6 mi am Recovery 5 mi pm
11,100 miles,Lactate Threshold + Endurance,Medium-long run 13 mi
11,100 miles,Lactate Threshold + Endurance,General aerobic + speed 10 mi w/ 10x100 m strides
11,100 miles,Lactate Threshold + Endurance,Long run 20 mi
10,102 miles,Lactate Threshold + Endurance,Recovery 6 mi am Recovery 5 mi pm
10,102 miles,Lactate Threshold + Endurance,Recovery 6 mi am General aerobic + speed 10 mi w/ 10x100m strides
10,102 miles,Lactate Threshold + Endurance,Medium-long run 15 mi
10,102 miles,Lactate Threshold + Endurance,Recovery 6 mi am Recovery 5 mi pm
10,102 miles,Lactate Threshold + Endurance,Recovery 6 mi am Lactate threshold 11 mi w/ 6 mi @ 15K to half marathon race pace
10,102 miles,Lactate Threshold + Endurance,General aerobic 10 mi
10,102 miles,Lactate Threshold + Endurance,Long run 22 mi
9,103 miles,Lactate Threshold + Endurance,Recovery 6 mi am Recovery 5 mi pm
9,103 miles,Lactate Threshold + Endurance,General aerobic 10 mi
9,103 miles,Lactate Threshold + Endurance,Recovery 6 mi am Medium-long run 15 mi pm
9,103 miles,Lactate Threshold + Endurance,Recovery 6 mi am Recovery 5 mi pm
9,103 miles,Lactate Threshold + Endurance,Recovery 6 mi am Medium-long run 14 mi pm
9,103 miles,Lactate Threshold + Endurance,General aerobic + speed 10 mi w/ 10x100 strides
9,103 miles,Lactate Threshold + Endurance,Marathon-pace run 20 mi w/ 12 mi @ marathon pace
8,86 miles,Lactate Threshold + Endurance,Recovery 6 mi am Recovery 5 mi pm
8,86 miles,Lactate Threshold + Endurance,General aerobic + speed 10 mi w/ 10x100 strides
8,86 miles,Lactate Threshold + Endurance,VO2max 10 mi w/ 5x800 m @ 5k race pace
