WeeksToGoal,WeeklyTotal,Mesocycle,Event
9,22 miles,Multiple,Rest or cross-training
9,22 miles,Multiple,Rest or cross-training
9,22 miles,Multiple,Recovery 5 mi
9,22 miles,Multiple,Rest or cross-training
9,22 miles,Multiple,Recovery 5 mi
9,22 miles,Multiple,Recovery 5 mi
9,22 miles,Multiple,Recovery 7 mi
8,32 miles,Multiple,Rest or cross-training
8,32 miles,Multiple,Recovery 5 mi
8,32 miles,Multiple,Recovery 5 mi
8,32 miles,Multiple,Rest or cross-training
8,32 miles,Multiple,General aerobic + speed 7 mi w/ 8x100 m strides
8,32 miles,Multiple,Recovery 5 mi
8,32 miles,Multiple,General aerobic 10 mi
7,42 miles,Multiple,Rest or cross-training
7,42 miles,Multiple,Recovery 6 mi
7,42 miles,Multiple,General aerobic 9 mi
7,42 miles,Multiple,Rest or cross-training
7,42 miles,Multiple,General aerobic + speed 9 mi w/ 8x100 m strides
7,42 miles,Multiple,Recovery 5 mi
7,42 miles,Multiple,Medium-long run 13 mi
6,55 miles,Multiple,Rest or cross-training
6,55 miles,Multiple,General aerobic + speed 8 mi w/ 8x100 m strides
6,55 miles,Multiple,Medium-long run 12 mi
6,55 miles,Multiple,Recovery 4 mi
6,55 miles,Multiple,Lactate threshold 9 mi wi 5 mi @ 15K to half marathon pace
6,55 miles,Multiple,Recovery + speed 5 mi w/ 6 x 100 m strides
6,55 miles,Multiple,Long run 17 mi
5,65 miles,Multiple,Rest or cross-training
5,65 miles,Multiple,Recovery 6 mi
5,65 miles,Multiple,VO2max 10 mi w/ 4x1200 m @ 5k race pace
5,65 miles,Multiple,Medium-long run 15 mi
5,65 miles,Multiple,General aerobic 9 mi
5,65 miles,Multiple,Recovery 6 mi
5,65 miles,Multiple,Long run 19 mi
4,57-61 miles,Multiple,Rest or cross-training
4,57-61 miles,Multiple,VO2max 9 mi w/ 6x600 m @ 5k race pace
4,57-61 miles,Multiple,Medium-long run 11 mi
4,57-61 miles,Multiple,Recovery + speed 6 mi w/ 6x100 m strides
4,57-61 miles,Multiple,Recovery 5 mi
4,57-61 miles,Multiple,8K-15K tune-up race
4,57-61 miles,Multiple,Long run 17 mi
3,67 miles,Multiple,Rest or cross-training
3,67 miles,Multiple,Recovery 6 mi
3,67 miles,Multiple,VO2max 11 mi w/ 6x1000 m @ 5k race pace
3,67 miles,Multiple,Medium-long run 15 mi
3,67 miles,Multiple,General aerobic 9 mi
3,67 miles,Multiple,Recovery 6 mi
3,67 miles,Multiple,Long run 20 mi
2,57-59 miles,Multiple,Rest or cross-training
2,57-59 miles,Multiple,VO2max 9 mi w/ 6x600 m @ 5k race pace
2,57-59 miles,Multiple,Medium-long run 11 mi
2,57-59 miles,Multiple,Recovery + speed 6 mi w/ 6x100 m strides
2,57-59 miles,Multiple,Recovery 5 mi
2,57-59 miles,Multiple,8K-10K tune-up race
2,57-59 miles,Multiple,Long run 17 mi
1,47 miles,Multiple,Rest or cross-training
1,47 miles,Multiple,General aerobic + speed 8 mi w/ 8x100 m strides
1,47 miles,Multiple,Recovery 5 mi
1,47 miles,Multiple,VO2max 9 mi w/ 3x1600 m @ 5k race pace
1,47 miles,Multiple,Recovery 5 mi
1,47 miles,Multiple,General aerobic + speed 7 mi w/ 10x100 m strides
1,47 miles,Multiple,Medium-long run 13 mi
Race week,28 miles,Multiple,Rest
Race week,28 miles,Multiple,Recovery 6 mi
Race week,28 miles,Multiple,Dress rehearsal 7 mi w/ 2 mi @ marathon race pace
Race week,28 miles,Multiple,Recovery 6 mi
Race week,28 miles,Multiple,Recovery + speed 5 mi w/ 6 x 100 m strides
Race week,28 miles,Multiple,Recovery 4 mi
Race week,28 miles,Multiple,Second marathon
